Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_NDX_rf,ois_fwd_raw,ois_fwd_NDX,spread_NDX,spread_NDX_filtered
2018-05-24,6957.25,378139.0,236052.0,JUN 18,2018-06-15,22.0,6982.25,804.0,13177.0,SEP 18,2018-09-21,120.0,NDX,0.0188925,363.9334729999997,0.0,366.8780469999997,0.0,386.30545499999965,2.9445739999999887,22.371981999999946,2.9462738166867806,22.442425778322445,0.00639294499912646,2.3484287751893116,0.005137027421132867,1.8870712975590125,46.13574776302991,0.4613574776302991
2018-05-25,6960.25,314454.0,233057.0,JUN 18,2018-06-15,21.0,6985.0,475.0,13233.0,SEP 18,2018-09-21,119.0,NDX,0.01885,363.9334729999997,0.0,366.8780469999997,0.0,386.30545499999965,2.9445739999999887,22.371981999999946,2.9461929022470716,22.441681599198972,0.006354192452892926,2.3341931459606666,0.00512575269665283,1.8829295620357334,45.12635839249333,0.45126358392493326
2018-05-29,6944.5,483516.0,237338.0,JUN 18,2018-06-15,17.0,6969.25,1960.0,13754.0,SEP 18,2018-09-21,115.0,NDX,0.0185895,364.7383489999997,0.0,366.8780469999997,0.0,386.30545499999965,2.13969800000001,21.567105999999967,2.1406371535715474,21.63114210757428,0.006368618626589884,2.339492556706488,0.0050560366214524866,1.857319575227444,48.21729814790439,0.48217298147904386
2018-05-30,6987.25,301735.0,236762.0,JUN 18,2018-06-15,16.0,7012.0,1331.0,14224.0,SEP 18,2018-09-21,114.0,NDX,0.018849,365.0130949999997,0.0,366.8780469999997,0.0,386.30545499999965,1.8649520000000166,21.292359999999974,1.8657331662277499,21.355905451492973,0.0063298668922202594,2.325257225713565,0.005126821757186484,1.883322278150137,44.19349475634278,0.44193494756342777
2018-05-31,6977.0,381381.0,232346.0,JUN 18,2018-06-15,15.0,7001.5,1876.0,14844.0,SEP 18,2018-09-21,113.0,NDX,0.01885,365.0282429999997,0.0,366.8780469999997,0.0,386.30545499999965,1.849804000000006,21.277211999999963,1.8505304334458392,21.34015856308413,0.0063032770135724725,2.315489515189888,0.005127361773495931,1.8835206514883012,43.19688637015868,0.4319688637015868
2018-06-01,7083.0,318235.0,240285.0,JUN 18,2018-06-15,14.0,7108.0,4452.0,16877.0,SEP 18,2018-09-21,112.0,NDX,0.018975,365.0282429999997,0.0,366.8780469999997,0.0,386.30545499999965,1.849804000000006,21.277211999999963,1.8504865006008393,21.340015237419962,0.006279529655790039,2.306765996004504,0.005161607830222126,1.8961008355918012,41.0665160412703,0.41066516041270296
2018-06-04,7148.25,245943.0,239275.0,JUN 18,2018-06-15,11.0,7173.25,3200.0,18042.0,SEP 18,2018-09-21,109.0,NDX,0.019055,365.0282429999997,0.0,366.8780469999997,0.0,386.30545499999965,1.849804000000006,21.277211999999963,1.850342511343645,21.33859069852488,0.006222045293920342,2.2856492916442073,0.005184176029953358,1.904391194676744,38.12580969674633,0.38125809696746327
2018-06-05,7179.25,253512.0,239989.0,JUN 18,2018-06-15,10.0,7203.25,3983.0,18798.0,SEP 18,2018-09-21,108.0,NDX,0.019045,365.1854319999997,0.0,366.8780469999997,0.0,386.30545499999965,1.6926149999999893,21.120022999999946,1.6930627201760309,21.1803576257052,0.006055930888979377,2.2246276735026282,0.005181730942616536,1.9034929993285234,32.113467417410476,0.3211346741741048
2018-06-06,7215.0,298821.0,239185.0,JUN 18,2018-06-15,9.0,7239.0,12897.0,21147.0,SEP 18,2018-09-21,107.0,NDX,0.019105,365.1854319999997,0.0,366.8780469999997,0.0,386.30545499999965,1.6926149999999893,21.120022999999946,1.6930192176196766,21.179987291968565,0.006025885812039666,2.213590706463551,0.005198322706672753,1.9095879330634606,30.40027734000905,0.3040027734000905
2018-06-07,7161.0,408155.0,218374.0,JUN 18,2018-06-15,8.0,7184.75,68276.0,44131.0,SEP 18,2018-09-21,106.0,NDX,0.019109,366.1478509999997,0.0,366.8780469999997,0.0,386.30545499999965,0.7301959999999781,20.157603999999935,0.7303510368373558,20.214312771406348,0.006036803902887744,2.2176014337138654,0.005199686426490713,1.9100888913639356,30.751254234992984,0.30751254234992986
2018-06-08,7151.5,211839.0,195318.0,JUN 18,2018-06-15,7.0,7176.5,239658.0,80887.0,SEP 18,2018-09-21,105.0,NDX,0.019149,366.1478509999997,0.0,366.8780469999997,0.0,386.30545499999965,0.7301959999999781,20.157603999999935,0.7303319411977947,20.213895369020186,0.006219537313998824,2.2847279928975275,0.005210843119321407,1.9141872683221495,37.0540724575378,0.370540724575378
2018-06-11,7170.25,169792.0,143366.0,JUN 18,2018-06-15,4.0,7196.0,276768.0,148285.0,SEP 18,2018-09-21,102.0,NDX,0.019196,366.2232529999997,0.0,366.8780469999997,0.0,386.30545499999965,0.6547939999999812,20.08220199999994,0.6548638301423367,20.136814209525472,0.006307704709280326,2.3171160156539976,0.005224463457771833,1.9191906579569997,39.79253576969979,0.3979253576969979
2018-06-12,7199.5,110631.0,109027.0,JUN 18,2018-06-15,3.0,7226.25,275735.0,181887.0,SEP 18,2018-09-21,101.0,NDX,0.019244,366.2232529999997,0.0,366.8780469999997,0.0,386.30545499999965,0.6547939999999812,20.08220199999994,0.6548465035655479,20.13641401586673,0.006420912952274982,2.358702717162238,0.0052378044751999475,1.9240914398693683,43.461127729286986,0.43461127729286986
2018-06-13,7204.25,90649.0,94950.0,JUN 18,2018-06-15,2.0,7231.0,353202.0,201462.0,SEP 18,2018-09-21,100.0,NDX,0.019174,366.2232529999997,0.0,366.8780469999997,0.0,386.30545499999965,0.6547939999999812,20.08220199999994,0.6548288750559701,20.135682019603827,0.006416580682546691,2.3571112711396007,0.005219032945901647,1.9171957760455032,43.99154950940976,0.43991549509409755
2018-06-14,7283.75,62907.0,81245.0,JUN 18,2018-06-15,1.0,7311.25,333787.0,215339.0,SEP 18,2018-09-21,99.0,NDX,0.0191905,366.8780469999997,0.0,366.8780469999997,0.0,386.30545499999965,0.0,19.427407999999957,0.0,19.47867098006826,0.006449791794071569,2.369311271291597,0.005223802090627894,1.9189477067612672,45.036356453032965,0.45036356453032966
2018-06-15,7257.5,6520.0,,JUN 18,2018-06-15,0.0,7281.5,357849.0,218743.0,SEP 18,2018-09-21,98.0,NDX,0.0191695,366.8780469999997,0.0,366.8780469999997,0.0,386.30545499999965,0.0,19.427407999999957,0.0,19.478097642180913,0.005990781624826802,2.200695290752703,0.005218363888888966,1.9169500000000284,28.374529075267453,0.2837452907526745
2018-06-18,7276.0,285579.0,221680.0,SEP 18,2018-09-21,95.0,7304.5,97.0,1707.0,DEC 18,2018-12-21,186.0,NDX,0.019154,366.8780469999997,0.0,386.30545499999965,0.0,405.83949899999965,19.427407999999957,38.96145199999995,19.47650618669307,39.15423780999868,0.006603781340732251,2.6124849260039675,0.00481735609535594,1.905767246514438,70.67176794895296,0.7067176794895296
2018-06-19,7252.25,446287.0,224232.0,SEP 18,2018-09-21,94.0,7280.5,328.0,1729.0,DEC 18,2018-12-21,185.0,NDX,0.0191655,367.5128939999997,0.0,386.30545499999965,0.0,405.83949899999965,18.792560999999978,38.32660499999997,18.83958304141314,38.51534316861607,0.006591276256447509,2.60753785969352,0.004820489205357381,1.9070067186029203,70.05311410905999,0.7005311410905999
2018-06-20,7313.25,316261.0,221056.0,SEP 18,2018-09-21,93.0,7341.5,233.0,1751.0,DEC 18,2018-12-21,184.0,NDX,0.0193475,367.5128939999997,0.0,386.30545499999965,0.0,405.83949899999965,18.792560999999978,38.32660499999997,18.839524588718195,38.516105575282886,0.0065365515281612385,2.5858885166352152,0.004866295802230081,1.9251280096734387,66.07605069617766,0.6607605069617766
2018-06-21,7237.75,418870.0,225412.0,SEP 18,2018-09-21,92.0,7265.5,364.0,1756.0,DEC 18,2018-12-21,183.0,NDX,0.0193705,367.5128939999997,0.0,386.30545499999965,0.0,405.83949899999965,18.792560999999978,38.32660499999997,18.839074833141986,38.515299731797064,0.0065356084531693615,2.585515432023044,0.004872312831984749,1.9275083730928677,65.80070589301764,0.6580070589301763
2018-06-22,7222.75,321262.0,225998.0,SEP 18,2018-09-21,91.0,7250.0,207.0,1773.0,DEC 18,2018-12-21,182.0,NDX,0.0193775,367.5128939999997,0.0,386.30545499999965,0.0,405.83949899999965,18.792560999999978,38.32660499999997,18.838585874195466,38.51433642984237,0.006480035423053643,2.5635304970322106,0.004874325958707848,1.9283047748734343,63.522572215877624,0.6352257221587763
