Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_SPX_rf,ois_fwd_raw,ois_fwd_SPX,spread_SPX,spread_SPX_filtered
2016-03-02,1983.5,1814091.0,3008594.0,MAR 16,2016-03-18,16.0,1974.25,29129.0,150713.0,JUN 16,2016-06-17,107.0,SPX,0.00419,205.11460200000013,0.0,207.2204550000001,0.010718,218.51259300000015,2.105852999999968,13.397991000000019,2.106049078312634,13.406333668479228,0.0010325737026830595,0.40849069556692463,0.0010589416904140947,0.41892198741656494,-1.0431291849640312,-0.010431291849640312
2016-03-03,1990.5,1541249.0,3018684.0,MAR 16,2016-03-18,15.0,1981.25,37163.0,166711.0,JUN 16,2016-06-17,106.0,SPX,0.00401,205.32067700000013,0.0,207.2204550000001,0.010718,218.51259300000015,1.8997779999999693,13.19191600000002,1.899936710620386,13.199703994187464,0.0010287930880741314,0.4069950678095465,0.0010134695550172435,0.40093301077605237,0.6062057033494106,0.006062057033494106
2016-03-04,1995.0,2232860.0,3012243.0,MAR 16,2016-03-18,14.0,1985.75,67574.0,193228.0,JUN 16,2016-06-17,105.0,SPX,0.00405,205.36740100000014,0.0,207.2204550000001,0.010718,218.51259300000015,1.8530539999999576,13.145192000000009,1.8531999280024574,13.15295587902501,0.0010264930597285726,0.40608516648602877,0.0010235887847662717,0.4049362225448987,0.11489439411300761,0.0011489439411300761
2016-03-07,1999.0,1623905.0,3005808.0,MAR 16,2016-03-18,11.0,1990.0,80886.0,237303.0,JUN 16,2016-06-17,102.0,SPX,0.0040799999999999,205.49968900000013,0.0,207.2204550000001,0.010718,218.51259300000015,1.7207659999999692,13.01290400000002,1.7208732610806359,13.020425458512019,0.0011493618266116279,0.4546925907474572,0.0010312047764711174,0.40794914234022234,4.674344840723488,0.04674344840723488
2016-03-08,1981.0,1928239.0,2931226.0,MAR 16,2016-03-18,10.0,1971.5,152803.0,332020.0,JUN 16,2016-06-17,101.0,SPX,0.00404,205.86875700000013,0.0,207.2204550000001,0.010718,218.51259300000015,1.3516979999999705,12.643836000000022,1.351773845276637,12.651001542835356,0.0009076228151316812,0.35905957521692883,0.0010211076312545142,0.4039546673094782,-4.489509209254939,-0.04489509209254938
2016-03-09,1989.0,1736155.0,2746033.0,MAR 16,2016-03-18,9.0,1979.75,299594.0,533496.0,JUN 16,2016-06-17,100.0,SPX,0.004,206.20744400000012,0.0,207.2204550000001,0.010718,218.51259300000015,1.0130109999999775,12.305149000000029,1.0130616505499777,12.311985193888919,0.0010296030628258457,0.40731549738165324,0.0010110100101101693,0.39996000399962744,0.7355493382025791,0.007355493382025791
2016-03-10,1988.75,2725742.0,2411617.0,MAR 16,2016-03-18,8.0,1979.5,1046412.0,875859.0,JUN 16,2016-06-17,99.0,SPX,0.00398,206.33880300000013,0.0,207.2204550000001,0.010718,218.51259300000015,0.8816519999999741,12.173790000000025,0.8816909886106407,12.180452106577526,0.0010297187802377206,0.40736127569843894,0.0010059665833999087,0.39796480222413977,0.9396473474299172,0.009396473474299172
2016-03-11,2020.0,1216563.0,1985603.0,MAR 16,2016-03-18,7.0,2010.5,1825950.0,1329369.0,JUN 16,2016-06-17,98.0,SPX,0.004065,206.89867300000012,0.0,207.2204550000001,0.010718,218.51259300000015,0.3217819999999847,11.613920000000036,0.32179471709277635,11.620345885153368,0.0008902300478881298,0.35217892004365575,0.0010274604544797672,0.40646787210188595,-5.42889520582302,-0.0542889520582302
2016-03-14,2018.75,872903.0,1576932.0,MAR 16,2016-03-18,4.0,2009.25,1648932.0,1761358.0,JUN 16,2016-06-17,95.0,SPX,0.00416,207.0295310000001,0.0,207.2204550000001,0.010718,218.51259300000015,0.19092399999999543,11.483062000000047,0.1909284124657732,11.489364925142269,0.0008907821360035761,0.3523973285288873,0.0010515069525676157,0.4159807724443315,-6.358344391544424,-0.06358344391544424
2016-03-15,2015.75,917429.0,1054670.0,MAR 16,2016-03-18,3.0,2006.5,1909164.0,2333364.0,JUN 16,2016-06-17,94.0,SPX,0.0040999999999999,207.0664310000001,0.0,207.2204550000001,0.010718,218.51259300000015,0.1540239999999926,11.446162000000044,0.15402663124332594,11.45228887615949,0.0010160514676578192,0.4019544267657307,0.0010363534801449692,0.4099859921452626,-0.8031565379531924,-0.008031565379531924
