Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_INDU_rf,ois_fwd_raw,ois_fwd_INDU,spread_INDU,spread_INDU_filtered
2012-09-14,13592.0,76026.0,72570.0,SEP 12,2012-09-21,7.0,13518.0,134176.0,57499.0,DEC 12,2012-12-21,98.0,INDU,0.00135,857.9599270000002,0.0,861.5217640000002,0.0,960.3114060000001,3.5618369999999686,102.35147899999993,3.5618837491105935,102.37028608426617,0.0018247427026027996,0.721876233996712,0.00034124104242283515,0.13499645634309962,58.68797776536123,0.5868797776536123
2012-09-17,13541.0,37436.0,62284.0,SEP 12,2012-09-21,4.0,13470.0,95250.0,81939.0,DEC 12,2012-12-21,95.0,INDU,0.00139,860.2054330000002,0.0,861.5217640000002,0.0,960.3114060000001,1.316330999999991,100.10597299999995,1.3163411650004908,100.1243327135203,0.002053414707496648,0.8123398842843883,0.000351355684617749,0.13899785325537325,67.3342031029015,0.673342031029015
2012-09-18,13570.0,32802.0,47277.0,SEP 12,2012-09-21,3.0,13499.0,105219.0,104262.0,DEC 12,2012-12-21,94.0,INDU,0.0014,860.2054330000002,0.0,861.5217640000002,0.0,960.3114060000001,1.316330999999991,100.10597299999995,1.3163386785974909,100.12427014728718,0.0020490224216080932,0.8106022766801249,0.0003538847602331252,0.13999836668563195,67.0603909994493,0.6706039099944929
2012-09-19,13570.0,27816.0,43696.0,SEP 12,2012-09-21,2.0,13497.0,104698.0,109924.0,DEC 12,2012-12-21,93.0,INDU,0.0014399999999999,860.2054330000002,0.0,861.5217640000002,0.0,960.3114060000001,1.316330999999991,100.10597299999995,1.316336265323991,100.12459271097795,0.001901676728047974,0.7523116726343634,0.00036399708802337116,0.14399884800924576,60.83128246251176,0.6083128246251176
2012-09-20,13593.0,15466.0,39153.0,SEP 12,2012-09-21,1.0,13515.0,114476.0,119262.0,DEC 12,2012-12-21,92.0,INDU,0.00137,861.5217640000002,0.0,861.5217640000002,0.0,960.3114060000001,0.0,98.78964199999996,0.0,98.8069356756634,0.0015307096060961367,0.6055554485655047,0.0003463042376754544,0.13699947864083908,46.855596992466566,0.46855596992466564
2012-09-21,13652.29,2349.0,,SEP 12,2012-09-21,0.0,13500.0,93398.0,117143.0,DEC 12,2012-12-21,91.0,INDU,0.00139,861.5217640000002,0.0,861.5217640000002,0.0,960.3114060000001,0.0,98.78964199999996,0.0,98.80699741918964,-0.003917511463704004,,0.00035136111111100377,0.13899999999995755,,
2012-09-24,13489.0,93917.0,120304.0,DEC 12,2012-12-21,88.0,13425.0,4.0,160.0,MAR 13,2013-03-15,172.0,INDU,0.0014099999999999,861.5217640000002,0.0,960.3114060000001,0.0,1045.6426490000003,98.78964199999996,184.12088500000016,98.80666674830461,184.182903051431,0.0015731925561934812,0.6742253812257777,0.0003288866437367588,0.1409514187443252,53.32739624814524,0.5332739624814524
2012-09-25,13405.0,127444.0,120672.0,DEC 12,2012-12-21,87.0,13341.0,6.0,162.0,MAR 13,2013-03-15,171.0,INDU,0.00137,861.5217640000002,0.0,960.3114060000001,0.0,1045.6426490000003,98.78964199999996,184.12088500000016,98.80599580198603,184.18079333295705,0.0015828720834418775,0.6783737500465189,0.00031956086539008943,0.13695465659575262,54.141909345076634,0.5414190934507663
2012-09-26,13345.0,121899.0,126874.0,DEC 12,2012-12-21,86.0,13280.0,,162.0,MAR 13,2013-03-15,170.0,INDU,0.001405,861.5217640000002,0.0,960.3114060000001,0.0,1045.6426490000003,98.78964199999996,184.12088500000016,98.80622082283728,184.18196454636438,0.0015156231344637394,0.6495527719130312,0.000327723336636776,0.14045285855861828,50.9099913354413,0.509099913354413
2012-09-27,13414.0,123345.0,130967.0,DEC 12,2012-12-21,85.0,13343.0,3.0,163.0,MAR 13,2013-03-15,169.0,INDU,0.00136,861.5217640000002,0.0,960.3114060000001,0.0,1045.6426490000003,98.78964199999996,184.12088500000016,98.8055032258544,184.17966047806738,0.001063743369116077,0.45589001533546153,0.00031723146678452885,0.1359563429076552,31.993367242780636,0.31993367242780635
